,original sentence,corrected sentence,error indices,corrected indices,error-corr pair,error label,l1,Approximate level,split
104,"Texten "" Norge mot Noreg "" är en text från Språktidningen 2009:3 av författaren Andreas Hermansson som beskriver språksituationen i Norges två största språk norskt bokmål och nynorska som är ett minoritetsspråk i Norge .","Texten "" Norge mot Noreg "" är en text från Språktidningen 2009:3 av författaren Andreas Hermansson som beskriver språksituationen för Norges två största språk norskt bokmål och nynorska som är ett minoritetsspråk i Norge .",130-130,130-132,i--för,L-W,Persiska,Avancerad,train
105,"Texten "" Norge mot Noreg "" är en text från Språktidningen 2009:3 av författaren Andreas Hermansson som beskriver språksituationen för Norges två största språk norska bokmål och nynorska som är ett minoritetsspråk i Norge .","Texten "" Norge mot Noreg "" är en text från Språktidningen 2009:3 av författaren Andreas Hermansson som beskriver språksituationen för Norges två största språk norskt bokmål och nynorska som är ett minoritetsspråk i Norge .",159-164,159-164,norska--norskt,L-Der,Persiska,Avancerad,train
106,"Texten "" Norge mot Noreg "" är en text från Språktidningen 2009:3 av författaren Andreas Hermansson som beskriver språksituationen för Norges två största språk norskt bokmål och nynorska som är ett minoritet språk i Norge .","Texten "" Norge mot Noreg "" är en text från Språktidningen 2009:3 av författaren Andreas Hermansson som beskriver språksituationen för Norges två största språk norskt bokmål och nynorska som är ett minoritetsspråk i Norge .",197-211,197-211,minoritet språk--minoritetsspråk,L-Der,Persiska,Avancerad,train
107,"Texten "" Norge mot Noreg "" är en text från Språktidningen 2009:3 av författaren Andreas Hermansson som beskriver språksituationen för Norges två största språk norskt bokmål och nynorska som är ett minoritet språk i Norge .","Texten "" Norge mot Noreg "" är en text från Språktidningen 2009:3 av författaren Andreas Hermansson som beskriver språksituationen för Norges två största språk norskt bokmål och nynorska som är ett minoritetsspråk i Norge .",197-211,197-211,minoritet språk--minoritetsspråk,O-Comp,Persiska,Avancerad,train
108,Andreas börjar texten med att redogöra om hatet som finns i Norge mot nynorska och hur tusentals olika mänskor på Facebook vill förbjuda nynorska helt och hållet inom Norge .,Andreas börjar texten med att redogöra för hatet som finns i Norge mot nynorska och hur tusentals olika mänskor på Facebook vill förbjuda nynorska helt och hållet inom Norge .,39-40,39-41,om--för,L-W,Persiska,Avancerad,train
109,Andreas börjar texten med att redogöra för hatet som finns inom Norge mot nynorska och hur tusentals olika mänskor på Facebook vill förbjuda nynorska helt och hållet inom Norge .,Andreas börjar texten med att redogöra för hatet som finns i Norge mot nynorska och hur tusentals olika mänskor på Facebook vill förbjuda nynorska helt och hållet inom Norge .,59-62,59-59,inom--i,L-W,Persiska,Avancerad,train
110,Andreas börjar texten med att redogöra för hatet som finns i Norge för nynorska och hur tusentals olika mänskor på Facebook vill förbjuda nynorska helt och hållet inom Norge .,Andreas börjar texten med att redogöra för hatet som finns i Norge mot nynorska och hur tusentals olika mänskor på Facebook vill förbjuda nynorska helt och hållet inom Norge .,67-69,67-69,för--mot,L-W,Persiska,Avancerad,train
111,Enligt honom var nynorska drömmen till många som levde i Norge 1814 och som ville ha sitt särskilda språk efter att ha varit en dansk koloni .,Enligt honom var nynorska drömmen för många som levde i Norge 1814 och som ville ha sitt särskilda språk efter att ha varit en dansk koloni .,34-37,34-36,till--för,L-W,Persiska,Avancerad,train
112,Författaren hänvisar till att många tycker att nynorska böcker och tv program borde bestämmas av marknaden och inte av regeringen .,Författaren hänvisar till att många tycker att nynorska böcker och tv-program borde bestämmas av marknaden och inte av regeringen .,67-76,67-76,tv program--tv-program,O-Comp,Persiska,Avancerad,train
113,För att börja med behandlas nynorska i Norge som ett officiellt språk och lärs ut till alla i norska skolor och varje år satsar norska regeringen stora summor på nynorska och norsktalande .,Till att börja med behandlas nynorska i Norge som ett officiellt språk och lärs ut till alla i norska skolor och varje år satsar norska regeringen stora summor på nynorska och norsktalande .,0-2,0-3,För--Till,L-W,Persiska,Avancerad,train
114,Till att börja med behandlas nynorska inom Norge som ett officiellt språk och lärs ut till alla i norska skolor och varje år satsar norska regeringen stora summor på nynorska och norsktalande .,Till att börja med behandlas nynorska i Norge som ett officiellt språk och lärs ut till alla i norska skolor och varje år satsar norska regeringen stora summor på nynorska och norsktalande .,38-41,38-38,inom--i,L-W,Persiska,Avancerad,train
115,Det som är likt i alla texter när de pratar om minoritet språken i Norge och Finland är att många i båda länderna tycker att minoritetsspråken borde förbjudas eller att minoritetsspråken har för mycket makt i landet .,Det som är likt i alla texter när de pratar om minoritetsspråken i Norge och Finland är att många i båda länderna tycker att minoritetsspråken borde förbjudas eller att minoritetsspråken har för mycket makt i landet .,47-63,47-63,minoritet språken--minoritetsspråken,L-Der,Persiska,Avancerad,train
116,Det som är likt i alla texter när de pratar om minoritet språken i Norge och Finland är att många i båda länderna tycker att minoritetsspråken borde förbjudas eller att minoritetsspråken har för mycket makt i landet .,Det som är likt i alla texter när de pratar om minoritetsspråken i Norge och Finland är att många i båda länderna tycker att minoritetsspråken borde förbjudas eller att minoritetsspråken har för mycket makt i landet .,47-63,47-63,minoritet språken--minoritetsspråken,O-Comp,Persiska,Avancerad,train
117,Det som är likt i alla texter när de pratar om minoritetsspråken inom Norge och Finland är att många i båda länderna tycker att minoritetsspråken borde förbjudas eller att minoritetsspråken har för mycket makt i landet .,Det som är likt i alla texter när de pratar om minoritetsspråken i Norge och Finland är att många i båda länderna tycker att minoritetsspråken borde förbjudas eller att minoritetsspråken har för mycket makt i landet .,65-68,65-65,inom--i,L-W,Persiska,Avancerad,train
118,Det som är likt i alla texter när de pratar om minoritetsspråken i Norge sam Finland är att många i båda länderna tycker att minoritetsspråken borde förbjudas eller att minoritetsspråken har för mycket makt i landet .,Det som är likt i alla texter när de pratar om minoritetsspråken i Norge och Finland är att många i båda länderna tycker att minoritetsspråken borde förbjudas eller att minoritetsspråken har för mycket makt i landet .,73-75,73-75,sam--och,L-W,Persiska,Avancerad,train
119,Det som är likt i alla texter när de pratar om minoritetsspråken i Norge och Finland är att många i båda länderna tycker att minoritet språken borde förbjudas eller att minoritetsspråken har för mycket makt i landet .,Det som är likt i alla texter när de pratar om minoritetsspråken i Norge och Finland är att många i båda länderna tycker att minoritetsspråken borde förbjudas eller att minoritetsspråken har för mycket makt i landet .,125-141,125-141,minoritet språken--minoritetsspråken,L-Der,Persiska,Avancerad,train
120,Det som är likt i alla texter när de pratar om minoritetsspråken i Norge och Finland är att många i båda länderna tycker att minoritet språken borde förbjudas eller att minoritetsspråken har för mycket makt i landet .,Det som är likt i alla texter när de pratar om minoritetsspråken i Norge och Finland är att många i båda länderna tycker att minoritetsspråken borde förbjudas eller att minoritetsspråken har för mycket makt i landet .,125-141,125-141,minoritet språken--minoritetsspråken,O-Comp,Persiska,Avancerad,train
121,Det som är likt i alla texter när de pratar om minoritetsspråken i Norge och Finland är att många i båda länderna tycker att minoritetsspråken borde förbjudas eller att minoritetspåken har för mycket makt i landet .,Det som är likt i alla texter när de pratar om minoritetsspråken i Norge och Finland är att många i båda länderna tycker att minoritetsspråken borde förbjudas eller att minoritetsspråken har för mycket makt i landet .,169-183,169-185,minoritetspåken--minoritetsspråken,L-Der,Persiska,Avancerad,train
122,Det som är likt i alla texter när de pratar om minoritetsspråken i Norge och Finland är att många i båda länderna tycker att minoritetsspråken borde förbjudas eller att minoritetsspråken har för mycket makt inom landet .,Det som är likt i alla texter när de pratar om minoritetsspråken i Norge och Finland är att många i båda länderna tycker att minoritetsspråken borde förbjudas eller att minoritetsspråken har för mycket makt i landet .,207-210,207-207,inom--i,L-W,Persiska,Avancerad,train
123,"En annan skillnad mellan hur minoritet sparåker behandlas är också vad regeringen gör för minoritetsspråken , till exempel att Norge använder sina resurser för att öka norsktalandet medan Finland gör motsatsen genom att ta bort svenska som obligatoriskt ämne från finska skolor .","En annan skillnad mellan hur minoritetsspråken behandlas är också vad regeringen gör för minoritetsspråken , till exempel att Norge använder sina resurser för att öka norsktalandet medan Finland gör motsatsen genom att ta bort svenska som obligatoriskt ämne från finska skolor .",29-46,29-45,minoritet sparåker--minoritetsspråken,L-Der,Persiska,Avancerad,train
124,"En annan skillnad mellan hur minoritet sparåker behandlas är också vad regeringen gör för minoritetsspråken , till exempel att Norge använder sina resurser för att öka norsktalandet medan Finland gör motsatsen genom att ta bort svenska som obligatoriskt ämne från finska skolor .","En annan skillnad mellan hur minoritetsspråken behandlas är också vad regeringen gör för minoritetsspråken , till exempel att Norge använder sina resurser för att öka norsktalandet medan Finland gör motsatsen genom att ta bort svenska som obligatoriskt ämne från finska skolor .",29-46,29-45,minoritet sparåker--minoritetsspråken,O-Comp,Persiska,Avancerad,train
125,"En annan skillnad mellan hur minoritetsspråken behandlas är också vad regeringen gör för minoritet språken , till exempel att Norge använder sina resurser för att öka norsktalandet medan Finland gör motsatsen genom att ta bort svenska som obligatoriskt ämne från finska skolor .","En annan skillnad mellan hur minoritetsspråken behandlas är också vad regeringen gör för minoritetsspråken , till exempel att Norge använder sina resurser för att öka norsktalandet medan Finland gör motsatsen genom att ta bort svenska som obligatoriskt ämne från finska skolor .",89-105,89-105,minoritet språken--minoritetsspråken,L-Der,Persiska,Avancerad,train
126,"En annan skillnad mellan hur minoritetsspråken behandlas är också vad regeringen gör för minoritet språken , till exempel att Norge använder sina resurser för att öka norsktalandet medan Finland gör motsatsen genom att ta bort svenska som obligatoriskt ämne från finska skolor .","En annan skillnad mellan hur minoritetsspråken behandlas är också vad regeringen gör för minoritetsspråken , till exempel att Norge använder sina resurser för att öka norsktalandet medan Finland gör motsatsen genom att ta bort svenska som obligatoriskt ämne från finska skolor .",89-105,89-105,minoritet språken--minoritetsspråken,O-Comp,Persiska,Avancerad,train
127,"I artikeln "" Svenskan tynar i Finland "" ( Forskning & Framsteg 2009:2 ) skriver Cecilia Christner Riad om varför man ens lär sig svenska idag i Finland , vilket beror på historiska event .","I artikeln "" Svenskan tynar i Finland "" ( Forskning & Framsteg 2009:2 ) skriver Cecilia Christner Riad om varför man ens lär sig svenska idag i Finland , vilket beror på historiska händelser .",181-185,181-189,event--händelser,L-FL,Arabiska,Avancerad,train
128,Enligt historian så var Finland en del av Sverige i 600 år tills kung Gustav förlorade Finland till Ryssland och en stor svenskspråkig befolkning blev kvar där .,Enligt historieskrivningen så var Finland en del av Sverige i 600 år tills kung Gustav förlorade Finland till Ryssland och en stor svenskspråkig befolkning blev kvar där .,7-15,7-25,historian--historieskrivningen,L-W,Arabiska,Avancerad,train
